Position MGI Austria West (EPSG 31254)	71748 RW; 237062 HW
Position WGS 84 (EPSG 4326)           	11°16'52" Ost; 47°16'6" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
0.00	49.05	50.35	50.35
1.00	49.54	50.35	50.35
2.00	52.64	51.49	52.64
3.00	54.27	54.38	54.38
4.00	54.46	54.35	54.46
5.00	55.34	54.32	55.34
6.00	55.78	54.27	55.78
7.00	56.26	54.22	56.26
8.00	56.98	55.15	56.98
9.00	57.23	56.03	57.23
10.00	57.62	57.33	57.62
11.00	57.55	57.25	57.55
12.00	57.81	57.16	57.81
13.00	57.63	57.05	57.63
14.00	57.61	56.94	57.61
15.00	57.07	56.83	57.07
16.00	57.71	57.32	57.71
17.00	58.77	57.19	58.77
18.00	58.90	57.57	58.90
19.00	59.35	57.43	59.35
20.00	59.39	57.31	59.39
21.00	59.69	57.14	59.69
22.00	59.71	58.30	59.71
23.00	59.97	58.11	59.97
24.00	59.92	59.63	59.92
25.00	60.26	59.44	60.26
26.00	60.21	59.23	60.21
27.00	60.07	60.54	60.54
28.00	60.08	60.32	60.32
29.00	60.07	60.08	60.08
30.00	59.57	59.84	59.84
31.00	59.86	59.58	59.86
32.00	59.80	59.31	59.80
33.00	60.02	59.30	60.02
34.00	59.52	59.01	59.52
35.00	61.14	58.70	61.14
36.00	59.14	58.39	59.14
37.00	61.49	59.42	61.49
38.00	64.22	59.09	64.22
39.00	63.72	58.74	63.72
40.00	63.74	58.37	63.74
41.00	60.25	57.99	60.25
42.00	63.40	60.04	63.40
43.00	63.31	59.64	63.31
44.00	64.68	59.23	64.68
45.00	62.38	58.79	62.38
46.00	60.43	59.23	60.43
47.00	60.70	59.64	60.70
48.00	59.77	60.04	60.04
49.00	59.56	58.59	59.56
50.00	59.16	58.96	59.16
51.00	59.15	59.34	59.34
52.00	58.82	59.68	59.68
53.00	58.84	60.01	60.01
54.00	58.44	58.89	58.89
55.00	58.18	59.20	59.20
56.00	57.68	57.34	57.68
57.00	57.59	57.64	57.64
58.00	57.26	57.80	57.80
59.00	56.87	58.08	58.08
60.00	56.38	55.21	56.38
61.00	55.65	55.47	55.65
