Position MGI Austria West (EPSG 31254)	18744 RW; 224973 HW
Position WGS 84 (EPSG 4326)           	10°34'48" Ost; 47°9'48" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
0.00	44.46	41.74	44.46
1.00	43.84	41.74	43.84
2.00	44.10	41.68	44.10
3.00	44.38	41.63	44.38
4.00	43.92	41.60	43.92
5.00	43.94	40.27	43.94
6.00	43.61	40.22	43.61
7.00	43.63	40.16	43.63
8.00	42.96	39.92	42.96
9.00	42.09	39.85	42.09
10.00	41.65	39.77	41.65
11.00	41.53	39.68	41.53
12.00	41.41	39.58	41.41
13.00	40.72	39.10	40.72
14.00	40.40	38.98	40.40
15.00	40.11	38.04	40.11
16.00	39.14	37.24	39.14
17.00	38.88	37.10	38.88
18.00	38.38	36.70	38.38
19.00	38.17	36.54	38.17
20.00	37.55	35.73	37.55
21.00	37.43	35.56	37.43
22.00	36.76	34.60	36.76
23.00	36.80	34.17	36.80
24.00	35.61	32.99	35.61
25.00	35.06	32.78	35.06
26.00	34.45	32.57	34.45
27.00	34.54	31.33	34.54
28.00	34.63	31.11	34.63
29.00	34.39	30.86	34.39
30.00	34.23	30.61	34.23
31.00	33.59	30.36	33.59
32.00	33.51	31.06	33.51
33.00	33.25	30.78	33.25
34.00	32.51	30.49	32.51
35.00	32.01	30.19	32.01
36.00	30.98	29.05	30.98
37.00	30.65	28.73	30.65
38.00	29.11	28.41	29.11
39.00	27.41	28.08	28.08
40.00	25.55	23.44	25.55
41.00	24.56	23.13	24.56
42.00	24.31	22.81	24.31
43.00	22.65	17.13	22.65
44.00	21.88	16.86	21.88
45.00	22.40	16.59	22.40
46.00	21.78	16.86	21.78
47.00	21.44	17.13	21.44
48.00	21.42	17.34	21.42
49.00	20.33	11.79	20.33
50.00	19.27	11.96	19.27
51.00	17.62	12.14	17.62
52.00	17.48	12.30	17.48
53.00	15.23	12.46	15.23
54.00	13.23	11.46	13.23
55.00	11.88	11.59	11.88
56.00	10.76	4.02	10.76
57.00	8.19	4.07	8.19
58.00	7.15	4.11	7.15
59.00	5.14	4.16	5.14
60.00	3.52	3.51	3.52
61.00	2.56	4.18	4.18
62.00	2.12	4.46	4.46
63.00	0.61	3.59	3.59
64.00	0.69	3.45	3.45
65.00	0.00	4.05	4.05
66.00	0.00	4.37	4.37
67.00	0.00	4.81	4.81
68.00	0.00	5.23	5.23
69.00	0.00	5.25	5.25
70.00	0.00	5.50	5.50
71.00	0.00	5.83	5.83
72.00	0.00	6.20	6.20
73.00	0.00	6.57	6.57
74.00	0.00	7.09	7.09
75.00	0.00	7.47	7.47
76.00	0.00	7.85	7.85
77.00	0.00	8.07	8.07
78.00	0.00	8.36	8.36
79.00	0.00	8.75	8.75
80.00	0.00	9.18	9.18
