Position MGI Austria West (EPSG 31254)	70702 RW; 237082 HW
Position WGS 84 (EPSG 4326)           	11°16'2" Ost; 47°16'7" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
0.00	81.85	74.72	81.85
1.00	81.85	74.71	81.85
2.00	81.84	74.71	81.84
3.00	81.84	74.70	81.84
4.00	81.83	74.68	81.83
5.00	82.03	74.66	82.03
6.00	82.59	74.64	82.59
7.00	82.57	74.61	82.57
8.00	82.56	74.57	82.56
9.00	82.54	74.54	82.54
10.00	82.51	74.49	82.51
11.00	82.49	74.45	82.49
12.00	82.46	74.39	82.46
13.00	82.43	74.33	82.43
14.00	82.40	74.27	82.40
15.00	82.37	74.20	82.37
16.00	82.33	74.13	82.33
17.00	82.89	74.05	82.89
18.00	82.85	73.97	82.85
19.00	82.81	73.88	82.81
20.00	82.77	73.79	82.77
21.00	82.99	73.69	82.99
22.00	82.94	73.58	82.94
23.00	82.88	73.47	82.88
24.00	82.83	73.35	82.83
25.00	82.77	73.22	82.77
26.00	82.72	73.09	82.72
27.00	82.66	75.68	82.66
28.00	82.59	75.55	82.59
29.00	82.52	75.42	82.52
30.00	82.45	75.28	82.45
31.00	82.37	75.14	82.37
32.00	82.29	74.98	82.29
33.00	82.36	74.82	82.36
34.00	82.27	74.65	82.27
35.00	82.19	74.48	82.19
36.00	82.09	74.29	82.09
37.00	81.99	74.10	81.99
38.00	81.88	73.89	81.88
39.00	81.77	73.68	81.77
40.00	81.65	73.46	81.65
41.00	81.52	73.22	81.52
42.00	81.37	72.98	81.37
43.00	81.23	72.72	81.23
44.00	81.09	72.45	81.09
45.00	80.94	72.16	80.94
46.00	81.09	72.45	81.09
47.00	81.23	72.72	81.23
48.00	81.37	72.98	81.37
49.00	80.25	73.22	80.25
50.00	80.40	73.46	80.40
51.00	80.54	73.68	80.54
52.00	80.66	73.89	80.66
53.00	80.78	74.10	80.78
54.00	80.90	74.29	80.90
55.00	81.01	74.48	81.01
56.00	81.11	74.65	81.11
57.00	81.21	74.82	81.21
58.00	80.14	74.98	80.14
59.00	80.24	75.14	80.24
60.00	79.49	75.28	79.49
61.00	79.59	75.42	79.59
62.00	79.69	75.55	79.69
63.00	79.78	75.68	79.78
64.00	79.62	63.25	79.62
65.00	79.70	63.44	79.70
66.00	79.77	63.62	79.77
67.00	79.85	63.79	79.85
68.00	79.10	63.96	79.10
69.00	79.17	64.11	79.17
70.00	79.24	64.26	79.24
71.00	78.53	64.40	78.53
72.00	78.60	64.53	78.60
73.00	78.66	64.65	78.66
74.00	77.57	64.76	77.57
75.00	77.62	64.87	77.62
76.00	77.68	64.02	77.68
77.00	77.73	64.11	77.73
78.00	77.58	64.20	77.58
79.00	77.62	64.28	77.62
80.00	76.44	64.35	76.44
81.00	75.52	64.41	75.52
82.00	74.56	64.47	74.56
83.00	74.60	64.52	74.60
84.00	74.63	64.57	74.63
85.00	74.65	64.60	74.65
86.00	74.67	64.63	74.67
87.00	73.79	64.66	73.79
88.00	72.78	64.68	72.78
89.00	72.79	64.69	72.79
90.00	72.79	64.69	72.79
91.00	72.79	64.69	72.79
92.00	72.78	64.68	72.78
93.00	70.38	64.66	70.38
94.00	68.55	64.63	68.55
95.00	68.52	64.60	68.52
96.00	68.48	64.57	68.48
97.00	68.45	64.52	68.45
98.00	68.40	64.47	68.40
99.00	68.35	64.41	68.35
100.00	63.76	64.35	64.35
101.00	63.69	64.28	64.28
102.00	63.61	64.19	64.19
103.00	63.52	64.11	64.11
104.00	63.43	64.01	64.01
105.00	63.32	63.91	63.91
106.00	63.21	63.80	63.80
107.00	63.08	63.68	63.68
108.00	62.96	63.56	63.56
109.00	62.82	63.43	63.43
110.00	62.68	63.28	63.28
111.00	51.46	63.14	63.14
112.00	51.27	62.98	62.98
113.00	51.05	62.81	62.81
114.00	50.84	62.63	62.63
115.00	50.62	62.44	62.44
116.00	50.40	62.25	62.25
117.00	22.45	5.01	22.45
118.00	22.26	4.87	22.26
119.00	19.54	4.89	19.54
120.00	19.37	4.99	19.37
121.00	19.18	5.06	19.18
122.00	15.48	5.00	15.48
123.00	0.00	4.88	4.88
124.00	0.22	4.44	4.44
125.00	0.21	4.23	4.23
126.00	0.21	4.09	4.09
127.00	1.15	3.88	3.88
128.00	1.14	3.70	3.70
129.00	3.31	4.03	4.03
130.00	2.45	4.34	4.34
131.00	2.95	4.68	4.68
132.00	2.21	4.94	4.94
133.00	1.95	5.27	5.27
134.00	2.37	5.54	5.54
135.00	1.87	5.76	5.76
136.00	2.25	5.92	5.92
137.00	2.64	6.15	6.15
138.00	2.53	6.42	6.42
139.00	2.95	6.61	6.61
140.00	3.04	6.74	6.74
141.00	3.14	6.94	6.94
142.00	2.74	7.11	7.11
143.00	2.95	7.52	7.52
144.00	3.31	7.75	7.75
145.00	3.05	8.25	8.25
146.00	2.66	8.66	8.66
147.00	2.40	9.28	9.28
148.00	2.34	9.51	9.51
149.00	1.53	9.42	9.42
150.00	1.55	9.84	9.84
151.00	1.05	10.53	10.53
152.00	2.14	10.52	10.52
153.00	1.90	10.37	10.37
154.00	1.23	10.05	10.05
155.00	1.13	9.60	9.60
156.00	1.91	8.97	8.97
157.00	2.52	8.46	8.46
158.00	21.05	8.07	21.05
159.00	21.19	8.77	21.19
160.00	21.31	9.36	21.31
161.00	21.42	9.83	21.42
162.00	21.54	9.74	21.54
163.00	21.65	10.15	21.65
164.00	21.75	9.38	21.75
165.00	21.85	9.21	21.85
166.00	30.49	9.51	30.49
167.00	30.59	9.54	30.59
168.00	30.69	9.89	30.69
169.00	30.78	9.40	30.78
170.00	30.86	9.79	30.86
171.00	30.93	10.22	30.93
172.00	31.00	10.64	31.00
173.00	31.06	10.77	31.06
174.00	31.10	10.56	31.10
175.00	41.59	10.09	41.59
176.00	41.63	9.61	41.63
177.00	41.66	9.10	41.66
178.00	41.68	8.69	41.68
179.00	41.69	8.46	41.69
180.00	41.69	8.21	41.69
181.00	41.69	8.16	41.69
182.00	41.68	8.11	41.68
183.00	41.65	7.80	41.65
184.00	41.62	7.42	41.62
185.00	41.58	7.21	41.58
186.00	40.99	7.61	40.99
187.00	40.94	8.01	40.94
188.00	51.92	8.64	51.92
189.00	51.85	8.91	51.85
190.00	51.95	9.53	51.95
191.00	51.87	9.61	51.87
192.00	51.76	9.80	51.76
193.00	51.65	10.17	51.65
194.00	51.54	10.08	51.54
195.00	73.47	9.81	73.47
196.00	73.40	9.36	73.40
197.00	73.31	8.76	73.31
198.00	73.23	8.37	73.23
199.00	73.13	8.00	73.13
