Position MGI Austria West (EPSG 31254)	44223 RW; 225490 HW
Position WGS 84 (EPSG 4326)           	10°54'58" Ost; 47°10'0" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
0.00	58.58	20.34	58.58
1.00	60.05	20.33	60.05
2.00	60.04	20.33	60.04
3.00	61.25	20.31	61.25
4.00	62.19	20.29	62.19
5.00	62.16	20.27	62.16
6.00	62.74	20.23	62.74
7.00	63.03	20.20	63.03
8.00	63.41	29.85	63.41
9.00	63.35	29.79	63.35
10.00	63.72	53.45	63.72
11.00	63.65	53.36	63.65
12.00	66.24	53.26	66.24
13.00	67.53	53.15	67.53
14.00	67.45	53.04	67.45
15.00	68.95	60.15	68.95
16.00	71.33	60.03	71.33
17.00	71.24	59.90	71.24
18.00	72.64	59.76	72.64
19.00	72.54	59.62	72.54
20.00	72.44	59.46	72.44
21.00	72.33	59.30	72.33
22.00	73.15	59.12	73.15
23.00	76.37	58.94	76.37
24.00	76.27	58.75	76.27
25.00	76.16	58.54	76.16
26.00	76.06	58.33	76.06
27.00	76.36	68.73	76.36
28.00	76.23	68.55	76.23
29.00	76.10	68.37	76.10
30.00	75.97	68.17	75.97
31.00	76.00	67.97	76.00
32.00	75.86	67.76	75.86
33.00	75.70	67.53	75.70
34.00	75.54	67.30	75.54
35.00	75.38	67.05	75.38
36.00	75.50	66.79	75.50
37.00	75.74	70.32	75.74
38.00	75.55	70.07	75.55
39.00	76.03	69.82	76.03
40.00	76.14	69.55	76.14
41.00	76.24	69.27	76.24
42.00	76.69	68.97	76.69
43.00	76.83	68.67	76.83
44.00	76.62	68.34	76.62
45.00	76.75	68.00	76.75
46.00	76.77	68.34	76.77
47.00	76.98	68.67	76.98
48.00	77.23	68.97	77.23
49.00	77.41	69.27	77.41
50.00	77.73	69.55	77.73
51.00	77.90	69.82	77.90
52.00	78.11	70.07	78.11
53.00	78.27	70.32	78.27
54.00	78.37	72.94	78.37
55.00	78.51	73.14	78.51
56.00	78.62	73.33	78.62
57.00	78.75	73.51	78.75
58.00	78.87	73.68	78.87
59.00	78.86	73.85	78.86
60.00	78.85	74.00	78.85
61.00	78.96	74.15	78.96
62.00	78.99	74.30	78.99
63.00	79.09	74.43	79.09
64.00	79.20	74.56	79.20
65.00	79.28	74.68	79.28
66.00	79.39	74.80	79.39
67.00	79.46	74.91	79.46
68.00	79.54	75.01	79.54
69.00	79.66	75.11	79.66
70.00	79.73	75.20	79.73
71.00	79.79	75.29	79.79
72.00	79.49	75.37	79.49
73.00	79.55	75.45	79.55
74.00	79.96	75.52	79.96
75.00	80.01	75.59	80.01
76.00	80.05	73.76	80.05
77.00	80.03	73.83	80.03
78.00	80.07	73.89	80.07
79.00	80.10	73.94	80.10
80.00	79.77	73.99	79.77
81.00	79.67	74.03	79.67
82.00	79.69	74.07	79.69
83.00	79.72	74.11	79.72
84.00	79.74	74.14	79.74
85.00	79.76	74.16	79.76
86.00	79.68	74.18	79.68
87.00	79.69	74.20	79.69
88.00	79.70	74.21	79.70
89.00	79.60	74.22	79.60
90.00	79.61	74.22	79.61
91.00	79.60	74.22	79.60
92.00	79.48	74.21	79.48
93.00	79.47	74.20	79.47
94.00	79.46	74.18	79.46
95.00	79.36	74.16	79.36
96.00	79.35	74.14	79.35
97.00	79.33	74.11	79.33
98.00	78.55	74.07	78.55
99.00	78.45	74.03	78.45
100.00	78.42	73.99	78.42
101.00	78.38	73.94	78.38
102.00	78.33	73.89	78.33
103.00	78.29	73.83	78.29
104.00	78.24	73.76	78.24
105.00	78.10	71.46	78.10
106.00	78.05	71.38	78.05
107.00	77.81	71.29	77.81
108.00	78.05	71.19	78.05
109.00	77.97	71.09	77.97
110.00	77.51	70.98	77.51
111.00	77.44	70.87	77.44
112.00	77.32	70.74	77.32
113.00	77.27	70.61	77.27
114.00	77.18	70.48	77.18
115.00	77.11	70.33	77.11
116.00	77.02	70.18	77.02
117.00	76.90	70.02	76.90
118.00	76.78	69.86	76.78
119.00	76.20	69.68	76.20
120.00	76.08	69.49	76.08
121.00	75.65	69.30	75.65
122.00	75.48	69.10	75.48
