Position MGI Austria West (EPSG 31254)	71911 RW; 237063 HW
Position WGS 84 (EPSG 4326)           	11°16'59" Ost; 47°16'6" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
0.00	82.66	75.17	82.66
1.00	82.66	75.17	82.66
2.00	82.65	75.17	82.65
3.00	82.65	75.16	82.65
4.00	82.03	75.14	82.03
5.00	82.40	75.12	82.40
6.00	82.38	75.10	82.38
7.00	82.37	75.07	82.37
8.00	82.35	75.04	82.35
9.00	82.33	75.00	82.33
10.00	82.31	74.96	82.31
11.00	82.29	74.91	82.29
12.00	82.26	74.86	82.26
13.00	82.29	74.80	82.29
14.00	82.26	74.74	82.26
15.00	82.67	74.68	82.67
16.00	82.63	74.61	82.63
17.00	82.59	74.53	82.59
18.00	82.55	74.45	82.55
19.00	82.51	74.36	82.51
20.00	82.46	74.27	82.46
21.00	82.42	74.17	82.42
22.00	82.37	74.07	82.37
23.00	82.63	73.96	82.63
24.00	82.58	73.84	82.58
25.00	82.52	73.72	82.52
26.00	82.46	73.59	82.46
27.00	82.40	74.17	82.40
28.00	82.33	74.03	82.33
29.00	82.25	73.88	82.25
30.00	82.18	73.73	82.18
31.00	82.34	73.57	82.34
32.00	82.26	73.41	82.26
33.00	82.17	73.23	82.17
34.00	82.08	73.05	82.08
35.00	81.99	72.85	81.99
36.00	81.89	72.65	81.89
37.00	81.75	72.44	81.75
38.00	81.64	72.22	81.64
39.00	81.53	71.99	81.53
40.00	81.41	71.74	81.41
41.00	81.27	71.49	81.27
42.00	82.68	71.22	82.68
43.00	82.56	70.94	82.56
44.00	82.44	70.64	82.44
45.00	82.31	70.33	82.31
46.00	82.44	70.64	82.44
47.00	82.56	70.94	82.56
48.00	82.68	71.22	82.68
49.00	80.90	71.49	80.90
50.00	81.04	71.74	81.04
51.00	81.17	71.99	81.17
52.00	81.28	72.22	81.28
53.00	81.40	72.44	81.40
54.00	79.90	72.65	79.90
55.00	80.02	72.85	80.02
56.00	80.13	73.05	80.13
57.00	80.25	73.23	80.25
58.00	79.26	73.41	79.26
59.00	79.37	73.57	79.37
60.00	79.48	73.73	79.48
61.00	78.26	73.88	78.26
62.00	78.37	74.03	78.37
63.00	78.48	74.17	78.48
64.00	77.64	58.87	77.64
65.00	77.73	59.08	77.73
66.00	77.82	59.28	77.82
67.00	77.91	59.47	77.91
68.00	78.00	59.65	78.00
69.00	76.13	59.82	76.13
70.00	76.21	59.98	76.21
71.00	76.29	60.14	76.29
72.00	76.37	60.28	76.37
73.00	75.41	60.42	75.41
74.00	74.02	60.54	74.02
75.00	74.28	60.66	74.28
76.00	74.35	60.77	74.35
77.00	74.41	60.87	74.41
78.00	74.47	60.97	74.47
79.00	74.52	61.05	74.52
80.00	71.87	61.13	71.87
81.00	70.82	61.20	70.82
82.00	69.74	61.27	69.74
83.00	69.78	61.32	69.78
84.00	69.81	61.37	69.81
85.00	68.21	61.41	68.21
86.00	68.41	61.44	68.41
87.00	68.43	61.47	68.43
88.00	68.44	61.49	68.44
89.00	51.75	61.50	61.50
90.00	51.58	61.50	61.50
91.00	48.59	61.50	61.50
92.00	41.32	61.49	61.49
93.00	45.42	61.47	61.47
94.00	44.36	61.44	61.44
95.00	44.32	61.41	61.41
96.00	42.26	61.37	61.37
97.00	39.98	61.32	61.32
98.00	35.58	61.26	61.26
99.00	32.10	61.20	61.20
100.00	30.09	61.13	61.13
101.00	28.53	61.05	61.05
102.00	28.44	60.96	60.96
103.00	27.78	60.87	60.87
104.00	26.72	60.77	60.77
105.00	20.83	60.66	60.66
106.00	15.56	60.54	60.54
107.00	14.39	60.41	60.41
108.00	13.87	60.27	60.27
109.00	13.56	60.13	60.13
110.00	6.63	59.98	59.98
111.00	6.15	59.82	59.82
112.00	3.56	59.65	59.65
113.00	0.48	59.47	59.47
114.00	0.00	59.28	59.28
115.00	0.00	59.08	59.08
116.00	0.00	58.87	58.87
117.00	0.00	5.25	5.25
118.00	0.00	4.89	4.89
119.00	0.00	4.64	4.64
120.00	0.00	4.55	4.55
121.00	0.00	4.55	4.55
122.00	0.00	4.65	4.65
123.00	0.00	4.76	4.76
124.00	0.00	4.73	4.73
125.00	0.00	4.52	4.52
126.00	0.00	4.09	4.09
127.00	0.00	3.87	3.87
128.00	0.00	3.73	3.73
129.00	0.00	3.54	3.54
130.00	0.00	3.18	3.18
131.00	0.00	2.91	2.91
132.00	0.00	3.32	3.32
133.00	0.00	3.22	3.22
134.00	0.00	3.42	3.42
135.00	0.00	3.49	3.49
136.00	0.00	3.41	3.41
137.00	0.00	3.70	3.70
138.00	0.00	3.97	3.97
139.00	0.00	4.23	4.23
140.00	0.00	4.49	4.49
141.00	0.00	4.72	4.72
142.00	0.00	4.90	4.90
143.00	0.00	5.08	5.08
144.00	0.00	5.31	5.31
145.00	0.00	5.57	5.57
146.00	0.00	5.76	5.76
147.00	0.00	5.90	5.90
148.00	0.00	6.05	6.05
149.00	0.00	6.54	6.54
150.00	0.00	7.06	7.06
151.00	0.00	7.51	7.51
152.00	0.00	7.86	7.86
153.00	0.00	8.26	8.26
154.00	0.00	8.88	8.88
155.00	0.00	8.85	8.85
156.00	0.00	8.82	8.82
157.00	0.00	9.37	9.37
158.00	0.00	9.87	9.87
159.00	0.00	9.88	9.88
160.00	0.00	9.66	9.66
161.00	0.00	9.30	9.30
162.00	0.00	8.81	8.81
163.00	0.00	8.16	8.16
164.00	0.00	7.84	7.84
165.00	0.00	7.63	7.63
166.00	0.00	8.35	8.35
167.00	0.00	9.11	9.11
168.00	0.00	8.92	8.92
169.00	0.00	9.39	9.39
170.00	0.00	8.77	8.77
171.00	0.00	8.48	8.48
172.00	0.00	8.25	8.25
173.00	0.00	8.62	8.62
174.00	0.00	9.12	9.12
175.00	0.00	8.59	8.59
176.00	0.00	8.62	8.62
177.00	0.00	8.90	8.90
178.00	0.00	8.74	8.74
179.00	0.00	8.92	8.92
180.00	0.00	9.28	9.28
181.00	0.00	9.39	9.39
182.00	0.00	9.51	9.51
183.00	0.00	9.22	9.22
184.00	0.00	8.81	8.81
185.00	0.00	8.32	8.32
186.00	0.00	7.88	7.88
187.00	0.00	7.35	7.35
188.00	0.00	7.04	7.04
189.00	0.00	6.84	6.84
