Position MGI Austria West (EPSG 31254)	38661 RW; 242253 HW
Position WGS 84 (EPSG 4326)           	10°50'39" Ost; 47°19'4" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
0.00	61.93	50.18	61.93
1.00	61.92	50.17	61.92
2.00	61.91	50.16	61.91
3.00	61.90	50.14	61.90
4.00	61.87	50.11	61.87
5.00	58.91	50.07	58.91
6.00	58.87	52.62	58.87
7.00	59.25	52.56	59.25
8.00	60.26	56.26	60.26
9.00	61.89	56.19	61.89
10.00	61.82	61.67	61.82
11.00	62.45	61.60	62.45
12.00	62.78	61.51	62.78
13.00	63.15	61.42	63.15
14.00	64.24	61.32	64.24
15.00	64.47	61.45	64.47
16.00	64.51	61.33	64.51
17.00	64.85	61.21	64.85
18.00	65.27	61.07	65.27
19.00	65.13	60.94	65.13
20.00	65.60	60.78	65.60
21.00	65.65	60.62	65.65
22.00	65.82	60.46	65.82
23.00	67.59	60.28	67.59
24.00	67.74	60.09	67.74
25.00	68.40	59.89	68.40
26.00	68.26	59.69	68.26
27.00	68.11	66.20	68.11
28.00	67.99	66.00	67.99
29.00	68.07	65.80	68.07
30.00	68.46	65.59	68.46
31.00	68.43	65.37	68.43
32.00	68.90	65.13	68.90
33.00	68.99	64.89	68.99
34.00	69.28	64.63	69.28
35.00	69.40	64.36	69.40
36.00	70.30	64.09	70.30
37.00	69.96	68.70	69.96
38.00	70.52	68.43	70.52
39.00	69.68	68.17	69.68
40.00	69.51	67.87	69.51
41.00	69.89	67.58	69.89
42.00	69.74	67.26	69.74
43.00	69.91	66.94	69.91
44.00	70.33	66.59	70.33
45.00	70.20	66.23	70.20
46.00	70.51	66.59	70.51
47.00	70.76	66.94	70.76
48.00	70.77	67.26	70.77
49.00	70.74	67.58	70.74
50.00	70.72	67.87	70.72
51.00	70.98	68.17	70.98
52.00	70.79	68.43	70.79
53.00	70.77	68.70	70.77
54.00	70.82	64.09	70.82
55.00	71.14	64.36	71.14
56.00	70.98	64.63	70.98
57.00	71.39	64.89	71.39
58.00	71.49	65.13	71.49
59.00	71.66	65.37	71.66
60.00	71.70	65.59	71.70
61.00	71.86	65.80	71.86
62.00	71.40	66.00	71.40
63.00	71.60	66.20	71.60
64.00	70.62	66.24	70.62
65.00	70.68	66.41	70.68
66.00	70.82	66.58	70.82
67.00	70.95	66.73	70.95
68.00	71.09	66.89	71.09
69.00	68.42	67.03	68.42
70.00	68.26	67.16	68.26
71.00	68.32	67.29	68.32
72.00	68.45	67.40	68.45
