Position MGI Austria West (EPSG 31254)	47165 RW; 218978 HW
Position WGS 84 (EPSG 4326)           	10°57'15" Ost; 47°6'29" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
0.00	79.41	66.20	79.41
1.00	79.41	66.20	79.41
2.00	79.41	66.19	79.41
3.00	79.88	66.18	79.88
4.00	79.87	66.15	79.87
5.00	79.86	66.12	79.86
6.00	79.96	66.09	79.96
7.00	79.94	66.05	79.94
8.00	79.97	66.00	79.97
9.00	79.94	65.94	79.94
10.00	79.98	67.66	79.98
11.00	79.95	67.59	79.95
12.00	79.91	67.52	79.91
13.00	79.88	67.44	79.88
14.00	79.96	67.35	79.96
15.00	79.91	72.60	79.91
16.00	79.86	72.52	79.86
17.00	79.90	72.44	79.90
18.00	79.85	72.34	79.85
19.00	79.78	72.25	79.78
20.00	79.72	72.14	79.72
21.00	80.16	72.04	80.16
22.00	80.28	71.92	80.28
23.00	80.20	71.80	80.20
24.00	80.13	71.67	80.13
25.00	80.18	71.53	80.18
26.00	80.10	71.39	80.10
27.00	81.97	71.61	81.97
28.00	81.89	71.46	81.89
29.00	81.81	71.29	81.81
30.00	81.73	71.12	81.73
31.00	81.65	70.94	81.65
32.00	81.56	70.75	81.56
33.00	81.47	70.55	81.47
34.00	81.37	70.34	81.37
35.00	81.27	70.12	81.27
36.00	81.16	69.89	81.16
37.00	81.04	73.22	81.04
38.00	80.92	73.01	80.92
39.00	80.81	72.79	80.81
40.00	81.00	72.55	81.00
41.00	80.86	72.31	80.86
42.00	80.73	72.05	80.73
43.00	80.58	71.78	80.58
44.00	80.42	71.49	80.42
45.00	80.26	71.20	80.26
46.00	80.42	71.49	80.42
47.00	80.58	71.78	80.58
48.00	80.73	72.05	80.73
49.00	80.86	72.31	80.86
50.00	81.00	72.55	81.00
51.00	80.75	72.79	80.75
52.00	80.87	73.01	80.87
53.00	80.99	73.22	80.99
54.00	81.11	69.89	81.11
55.00	81.22	70.12	81.22
56.00	81.32	70.34	81.32
57.00	81.42	70.55	81.42
58.00	81.51	70.75	81.51
59.00	81.60	70.94	81.60
60.00	81.69	71.12	81.69
61.00	81.76	71.29	81.76
62.00	81.84	71.46	81.84
63.00	81.92	71.61	81.92
64.00	81.29	71.62	81.29
65.00	81.36	71.76	81.36
66.00	81.42	71.90	81.42
67.00	81.49	72.03	81.49
68.00	81.55	72.15	81.55
69.00	81.61	72.26	81.61
70.00	81.66	72.37	81.66
71.00	81.71	72.47	81.71
72.00	81.76	72.57	81.76
73.00	81.80	72.66	81.80
74.00	81.85	72.74	81.85
75.00	81.89	72.82	81.89
76.00	81.92	70.47	81.92
77.00	81.95	70.55	81.95
78.00	81.99	70.61	81.99
79.00	82.01	70.68	82.01
80.00	82.04	70.74	82.04
81.00	80.09	68.62	80.09
82.00	80.11	68.67	80.11
83.00	78.52	67.04	78.52
84.00	78.54	67.08	78.54
85.00	77.06	65.47	77.06
86.00	76.99	65.42	76.99
87.00	77.00	65.44	77.00
88.00	77.01	65.46	77.01
89.00	77.02	65.47	77.02
90.00	77.02	65.47	77.02
91.00	77.02	65.47	77.02
92.00	77.01	65.46	77.01
93.00	77.00	65.44	77.00
94.00	76.99	65.42	76.99
95.00	76.97	64.91	76.97
96.00	74.80	64.59	74.80
97.00	74.77	64.54	74.77
98.00	74.74	63.87	74.74
99.00	74.70	63.81	74.70
100.00	74.66	62.61	74.66
101.00	74.61	62.53	74.61
102.00	74.56	62.45	74.56
103.00	74.50	61.01	74.50
104.00	74.44	60.91	74.44
105.00	71.24	60.67	71.24
106.00	71.15	60.55	71.15
107.00	71.06	60.43	71.06
108.00	70.96	60.29	70.96
109.00	70.85	60.15	70.85
110.00	68.19	57.95	68.19
111.00	68.07	57.79	68.07
112.00	67.94	57.61	67.94
113.00	67.78	57.42	67.78
114.00	67.25	57.18	67.25
115.00	67.09	56.97	67.09
116.00	66.93	56.76	66.93
117.00	66.88	55.38	66.88
118.00	66.68	55.14	66.68
119.00	66.48	54.88	66.48
120.00	66.28	54.06	66.28
121.00	66.05	53.79	66.05
122.00	65.83	53.49	65.83
123.00	58.60	51.28	58.60
124.00	56.91	50.95	56.91
125.00	54.62	49.91	54.62
126.00	54.28	48.42	54.28
127.00	52.31	46.76	52.31
128.00	52.04	46.38	52.04
129.00	51.47	45.99	51.47
130.00	50.22	45.57	50.22
131.00	49.30	38.33	49.30
132.00	46.98	36.61	46.98
133.00	46.10	36.18	46.10
134.00	42.98	29.41	42.98
135.00	40.23	28.99	40.23
136.00	35.96	29.41	35.96
137.00	35.18	25.94	35.18
138.00	35.30	26.30	35.30
139.00	34.82	24.84	34.82
140.00	38.14	23.25	38.14
141.00	41.19	22.51	41.19
142.00	41.48	21.69	41.48
143.00	41.86	20.13	41.86
144.00	41.59	19.22	41.59
145.00	40.92	19.26	40.92
146.00	38.80	16.55	38.80
147.00	37.30	15.79	37.30
148.00	39.60	15.17	39.60
149.00	39.16	14.72	39.16
150.00	39.46	13.77	39.46
151.00	39.45	13.08	39.45
152.00	37.15	12.34	37.15
153.00	35.65	11.81	35.65
154.00	40.92	10.71	40.92
155.00	41.58	10.80	41.58
156.00	42.07	9.11	42.07
157.00	42.28	7.94	42.28
158.00	40.89	7.62	40.89
159.00	41.08	7.18	41.08
160.00	37.22	6.49	37.22
161.00	52.21	5.81	52.21
162.00	52.38	5.37	52.38
163.00	53.10	5.27	53.10
164.00	53.25	4.94	53.25
165.00	53.38	3.93	53.38
166.00	57.73	4.32	57.73
167.00	57.84	4.95	57.84
168.00	57.94	5.45	57.94
169.00	58.03	6.37	58.03
170.00	58.11	7.52	58.11
171.00	58.19	7.68	58.19
172.00	57.15	7.66	57.15
173.00	60.44	7.37	60.44
174.00	60.49	7.34	60.49
175.00	60.53	7.01	60.53
176.00	60.56	6.79	60.56
177.00	60.59	6.49	60.59
178.00	62.26	6.96	62.26
179.00	62.27	7.67	62.27
180.00	62.27	8.59	62.27
181.00	62.27	8.75	62.27
182.00	62.26	8.80	62.26
183.00	60.69	8.06	60.69
184.00	60.66	7.88	60.66
185.00	60.63	7.88	60.63
186.00	60.58	7.95	60.58
187.00	60.54	8.23	60.54
188.00	54.84	8.99	54.84
189.00	54.76	9.57	54.76
190.00	54.68	10.28	54.68
191.00	54.60	10.83	54.60
192.00	54.50	11.74	54.50
193.00	47.92	12.50	47.92
194.00	47.81	13.34	47.81
195.00	47.68	14.64	47.68
196.00	47.54	15.09	47.54
197.00	47.39	15.39	47.39
198.00	46.00	14.51	46.00
199.00	45.82	13.78	45.82
200.00	50.27	14.31	50.27
201.00	50.11	14.15	50.11
202.00	49.92	13.72	49.92
203.00	49.69	12.75	49.69
204.00	49.48	12.60	49.48
205.00	51.41	12.64	51.41
206.00	51.20	13.05	51.20
207.00	52.36	13.42	52.36
208.00	52.10	12.98	52.10
209.00	52.40	13.37	52.40
210.00	52.14	14.18	52.14
211.00	51.84	13.93	51.84
212.00	51.55	14.12	51.55
213.00	51.23	13.53	51.23
214.00	49.26	12.98	49.26
215.00	48.94	13.01	48.94
216.00	47.31	13.49	47.31
217.00	55.66	14.08	55.66
218.00	55.30	14.63	55.30
219.00	54.95	15.16	54.95
220.00	54.56	15.16	54.56
221.00	54.12	15.41	54.12
222.00	54.61	15.86	54.61
223.00	54.18	16.13	54.18
224.00	53.72	16.12	53.72
225.00	53.25	16.10	53.25
226.00	53.72	16.28	53.72
227.00	54.18	16.71	54.18
228.00	54.61	16.76	54.61
229.00	53.94	16.96	53.94
230.00	54.38	17.03	54.38
231.00	54.52	17.40	54.52
232.00	54.87	17.60	54.87
233.00	55.23	17.47	55.23
234.00	52.84	17.43	52.84
235.00	53.19	17.60	53.19
236.00	51.29	17.79	51.29
237.00	51.62	18.45	51.62
238.00	51.94	19.05	51.94
239.00	52.22	19.30	52.22
240.00	50.77	19.57	50.77
241.00	51.04	19.50	51.04
242.00	49.53	19.14	49.53
243.00	49.80	19.15	49.80
244.00	38.86	19.02	38.86
245.00	39.07	18.98	39.07
246.00	32.94	18.75	32.94
247.00	34.28	18.36	34.28
248.00	34.49	18.12	34.49
249.00	34.67	17.79	34.67
250.00	41.80	17.24	41.80
251.00	41.97	16.89	41.97
252.00	42.14	16.46	42.14
253.00	43.98	16.19	43.98
254.00	45.21	16.28	45.21
255.00	47.59	16.18	47.59
256.00	48.01	15.86	48.01
257.00	48.13	15.73	48.13
258.00	48.24	15.39	48.24
259.00	46.84	15.17	46.84
260.00	49.77	15.02	49.77
261.00	49.86	14.48	49.86
262.00	49.93	14.27	49.93
263.00	50.00	14.33	50.00
264.00	50.83	14.17	50.83
265.00	50.88	13.98	50.88
266.00	50.92	13.95	50.92
267.00	50.95	14.19	50.95
268.00	49.96	14.56	49.96
269.00	49.97	14.97	49.97
270.00	49.98	14.64	49.98
271.00	49.97	14.94	49.97
272.00	49.96	15.50	49.96
273.00	42.06	15.97	42.06
274.00	42.03	16.32	42.03
275.00	41.99	15.70	41.99
276.00	41.94	15.42	41.94
277.00	40.87	15.03	40.87
278.00	40.80	14.42	40.80
279.00	40.73	13.96	40.73
280.00	40.64	13.42	40.64
281.00	34.24	12.93	34.24
282.00	34.15	12.89	34.15
283.00	33.45	13.26	33.45
284.00	33.35	12.95	33.35
285.00	33.10	12.46	33.10
286.00	32.98	11.97	32.98
287.00	32.46	11.90	32.46
288.00	32.33	11.87	32.33
289.00	31.30	12.46	31.30
290.00	31.15	12.39	31.15
291.00	26.98	13.97	26.98
292.00	26.82	14.72	26.82
293.00	18.71	15.24	18.71
294.00	18.58	15.13	18.58
295.00	13.81	15.91	15.91
296.00	14.44	15.79	15.79
297.00	14.32	16.70	16.70
298.00	14.33	16.56	16.56
299.00	14.29	16.42	16.42
300.00	14.80	16.97	16.97
301.00	15.41	16.80	16.80
302.00	16.64	16.74	16.74
303.00	18.00	17.25	18.00
304.00	19.65	17.60	19.65
305.00	23.46	17.40	23.46
306.00	24.26	18.15	24.26
307.00	23.87	18.03	23.87
308.00	22.13	18.65	22.13
309.00	20.73	19.03	20.73
310.00	19.04	18.78	19.04
311.00	19.40	19.69	19.69
312.00	18.79	19.41	19.41
313.00	19.26	19.13	19.26
314.00	20.74	20.34	20.74
315.00	20.51	20.02	20.51
316.00	26.10	20.34	26.10
317.00	27.20	20.50	27.20
318.00	32.58	20.80	32.58
319.00	33.06	21.39	33.06
320.00	36.41	21.68	36.41
321.00	36.74	21.94	36.74
322.00	40.64	22.21	40.64
323.00	42.86	22.78	42.86
324.00	47.04	23.05	47.04
325.00	55.58	23.30	55.58
326.00	57.23	23.49	57.23
327.00	57.54	23.73	57.54
328.00	59.39	24.08	59.39
329.00	60.09	24.31	60.09
330.00	60.84	24.94	60.84
331.00	62.12	25.15	62.12
332.00	69.27	25.36	69.27
333.00	69.45	25.52	69.45
334.00	71.52	42.77	71.52
335.00	71.65	43.00	71.65
336.00	72.09	43.23	72.09
337.00	72.22	43.44	72.22
338.00	72.47	43.65	72.47
339.00	72.58	43.85	72.58
340.00	72.80	44.03	72.80
341.00	73.73	44.21	73.73
342.00	75.43	44.38	75.43
343.00	75.51	44.54	75.51
344.00	75.65	44.68	75.65
345.00	75.71	44.82	75.71
346.00	76.74	65.56	76.74
347.00	76.79	65.65	76.79
348.00	76.84	65.73	76.84
349.00	76.89	65.81	76.89
350.00	78.44	65.88	78.44
351.00	78.47	65.94	78.47
352.00	78.50	66.00	78.50
353.00	78.76	66.05	78.76
354.00	78.78	66.09	78.78
355.00	78.80	66.12	78.80
356.00	78.81	66.15	78.81
357.00	78.83	66.17	78.83
358.00	79.41	66.19	79.41
359.00	79.41	66.20	79.41
