Position MGI Austria West (EPSG 31254)	46984 RW; 215363 HW
Position WGS 84 (EPSG 4326)           	10°57'6" Ost; 47°4'32" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
0.00	0.00	7.54	7.54
1.00	0.00	8.18	8.18
2.00	0.00	7.95	7.95
3.00	0.00	8.47	8.47
4.00	0.00	9.30	9.30
5.00	0.00	9.22	9.22
6.00	0.00	9.44	9.44
7.00	0.00	9.90	9.90
8.00	0.00	10.18	10.18
9.00	0.00	10.38	10.38
10.00	0.00	10.23	10.23
11.00	0.00	9.92	9.92
12.00	0.00	9.98	9.98
13.00	0.00	9.83	9.83
14.00	0.00	10.12	10.12
15.00	0.00	10.48	10.48
16.00	0.00	10.81	10.81
17.00	0.00	11.24	11.24
18.00	0.00	11.71	11.71
19.00	0.00	12.13	12.13
20.00	0.00	12.54	12.54
21.00	0.00	12.97	12.97
22.00	0.00	13.21	13.21
23.00	0.00	13.62	13.62
24.00	0.00	14.03	14.03
25.00	0.00	14.69	14.69
26.00	0.00	15.21	15.21
27.00	0.00	15.61	15.61
28.00	0.00	16.10	16.10
29.00	0.00	16.48	16.48
30.00	0.00	17.05	17.05
31.00	0.00	17.59	17.59
32.00	0.00	18.07	18.07
33.00	0.00	18.66	18.66
34.00	0.00	19.05	19.05
35.00	0.00	19.50	19.50
36.00	0.00	19.35	19.35
37.00	0.00	19.55	19.55
38.00	0.00	19.85	19.85
39.00	0.00	19.99	19.99
40.00	0.00	20.26	20.26
41.00	0.00	20.50	20.50
42.00	0.00	20.36	20.36
43.00	0.00	20.52	20.52
44.00	0.00	20.30	20.30
45.00	0.00	20.36	20.36
46.00	0.00	20.46	20.46
47.00	0.00	20.72	20.72
48.00	0.00	21.05	21.05
49.00	0.00	21.21	21.21
50.00	0.00	21.54	21.54
51.00	0.00	22.13	22.13
52.00	0.00	22.65	22.65
53.00	0.00	23.47	23.47
54.00	0.00	23.78	23.78
55.00	0.00	24.22	24.22
56.00	0.00	24.73	24.73
57.00	0.00	25.23	25.23
58.00	0.00	24.98	24.98
59.00	0.00	25.07	25.07
60.00	0.00	24.64	24.64
61.00	0.00	24.43	24.43
62.00	0.00	24.03	24.03
63.00	0.00	23.76	23.76
64.00	0.00	23.38	23.38
65.00	0.00	23.16	23.16
66.00	0.00	22.73	22.73
67.00	0.00	22.43	22.43
68.00	0.00	22.04	22.04
69.00	0.00	21.82	21.82
70.00	0.00	21.85	21.85
71.00	0.00	21.86	21.86
72.00	0.00	21.65	21.65
73.00	0.00	20.93	20.93
74.00	0.37	19.77	19.77
75.00	0.38	18.90	18.90
76.00	0.38	17.95	17.95
77.00	0.35	17.11	17.11
78.00	0.35	16.52	16.52
79.00	0.08	15.90	15.90
80.00	0.00	15.39	15.39
81.00	0.00	14.50	14.50
82.00	0.00	13.61	13.61
83.00	0.00	13.13	13.13
84.00	0.00	12.65	12.65
85.00	0.00	11.72	11.72
86.00	0.00	11.28	11.28
87.00	0.00	11.60	11.60
88.00	0.00	11.73	11.73
89.00	0.00	11.75	11.75
90.00	0.00	12.30	12.30
91.00	0.00	12.89	12.89
92.00	0.00	12.54	12.54
93.00	0.00	12.76	12.76
94.00	0.00	13.34	13.34
95.00	0.00	13.39	13.39
96.00	0.00	12.95	12.95
97.00	0.00	12.36	12.36
98.00	0.00	12.06	12.06
99.00	0.00	11.68	11.68
100.00	0.00	11.01	11.01
101.00	0.00	10.40	10.40
102.00	0.00	11.23	11.23
103.00	0.00	12.10	12.10
104.00	0.00	12.46	12.46
105.00	0.00	12.78	12.78
106.00	0.00	13.20	13.20
107.00	0.00	13.66	13.66
108.00	0.00	14.15	14.15
109.00	0.00	14.80	14.80
110.00	0.00	15.70	15.70
111.00	0.00	16.28	16.28
112.00	0.00	16.84	16.84
113.00	0.00	17.56	17.56
114.00	0.00	18.47	18.47
115.00	0.00	18.84	18.84
116.00	1.71	19.10	19.10
117.00	1.98	19.40	19.40
118.00	1.74	19.79	19.79
119.00	0.00	20.31	20.31
120.00	0.00	20.73	20.73
121.00	0.00	21.00	21.00
122.00	0.10	21.54	21.54
123.00	0.32	21.45	21.45
124.00	0.42	20.72	20.72
125.00	0.81	20.11	20.11
126.00	1.10	19.45	19.45
127.00	1.42	18.90	18.90
128.00	1.79	18.36	18.36
129.00	2.00	17.49	17.49
130.00	2.25	16.71	16.71
131.00	2.74	15.88	15.88
132.00	2.88	15.34	15.34
133.00	3.08	14.46	14.46
134.00	3.18	13.76	13.76
135.00	3.33	13.76	13.76
136.00	3.48	13.28	13.28
137.00	5.39	12.87	12.87
138.00	9.56	12.00	12.00
139.00	11.50	11.78	11.78
140.00	11.87	10.97	11.87
141.00	13.55	10.53	13.55
142.00	13.50	10.21	13.50
143.00	14.60	10.35	14.60
144.00	14.92	10.10	14.92
145.00	15.44	10.30	15.44
146.00	16.56	10.90	16.56
147.00	18.68	11.33	18.68
148.00	20.86	14.21	20.86
149.00	21.24	14.36	21.24
150.00	20.52	14.50	20.52
151.00	21.86	14.64	21.86
152.00	23.80	14.77	23.80
153.00	24.37	14.90	24.37
154.00	24.48	52.67	52.67
155.00	26.34	52.90	52.90
156.00	27.01	53.12	53.12
157.00	28.08	53.33	53.33
158.00	29.01	53.53	53.53
