Position MGI Austria West (EPSG 31254)	80296 RW; 238681 HW
Position WGS 84 (EPSG 4326)           	11°23'39" Ost; 47°16'55" Nord
Azimut	Nah-Horizont	Fern-Horizont	Total
0.00	81.32	41.38	81.32
1.00	81.32	41.37	81.32
2.00	81.31	41.36	81.31
3.00	81.31	41.34	81.31
4.00	81.30	41.31	81.30
5.00	81.29	41.27	81.29
6.00	81.16	41.22	81.16
7.00	81.14	41.17	81.14
8.00	82.65	41.10	82.65
9.00	82.63	41.03	82.63
10.00	82.61	40.94	82.61
11.00	82.59	40.85	82.59
12.00	82.56	40.75	82.56
13.00	82.53	40.64	82.53
14.00	82.50	40.52	82.50
15.00	82.47	39.04	82.47
16.00	82.43	38.91	82.43
17.00	82.39	38.76	82.39
18.00	82.35	38.61	82.35
19.00	82.30	38.45	82.30
20.00	82.26	38.27	82.26
21.00	82.32	38.09	82.32
22.00	82.27	37.90	82.27
23.00	82.21	37.70	82.21
24.00	82.15	37.49	82.15
25.00	82.09	37.27	82.09
26.00	82.03	37.04	82.03
27.00	81.96	43.94	81.96
28.00	81.88	43.68	81.88
29.00	81.80	43.41	81.80
30.00	81.73	43.13	81.73
31.00	81.64	42.84	81.64
32.00	81.55	42.53	81.55
33.00	81.61	42.21	81.61
34.00	81.51	41.88	81.51
35.00	81.42	41.54	81.42
36.00	81.31	41.19	81.31
37.00	81.20	40.82	81.20
38.00	81.08	40.44	81.08
39.00	80.96	40.05	80.96
40.00	80.83	39.64	80.83
41.00	80.69	39.22	80.69
42.00	78.75	38.79	78.75
43.00	78.57	38.35	78.57
44.00	78.39	37.89	78.39
45.00	78.19	37.41	78.19
46.00	78.39	37.89	78.39
47.00	78.57	38.35	78.57
48.00	78.75	38.79	78.75
49.00	78.22	39.22	78.22
50.00	78.41	39.64	78.41
51.00	78.57	40.05	78.57
52.00	78.71	40.44	78.71
53.00	78.86	40.82	78.86
54.00	79.00	41.19	79.00
55.00	79.14	41.54	79.14
56.00	79.26	41.88	79.26
57.00	79.38	42.21	79.38
58.00	77.05	42.53	77.05
59.00	77.17	42.84	77.17
60.00	77.31	43.13	77.31
61.00	77.42	43.41	77.42
62.00	77.54	43.68	77.54
63.00	77.66	43.94	77.66
64.00	77.76	14.00	77.76
65.00	77.85	14.11	77.85
66.00	77.94	14.22	77.94
67.00	78.03	14.32	78.03
68.00	78.12	14.42	78.12
69.00	78.20	14.51	78.20
70.00	79.45	14.61	79.45
71.00	79.52	14.69	79.52
72.00	79.58	14.77	79.58
73.00	79.63	14.85	79.63
74.00	79.69	14.93	79.69
75.00	79.73	14.99	79.73
76.00	79.78	15.06	79.78
77.00	79.82	15.12	79.82
78.00	79.86	15.18	79.86
79.00	79.90	15.23	79.90
80.00	79.93	15.27	79.93
81.00	79.96	15.32	79.96
82.00	79.98	15.36	79.98
83.00	78.00	15.39	78.00
84.00	78.02	15.42	78.02
85.00	78.04	15.44	78.04
86.00	78.06	15.46	78.06
87.00	78.07	15.48	78.07
88.00	78.08	15.49	78.08
89.00	78.08	15.50	78.08
90.00	78.09	15.50	78.09
91.00	78.08	15.50	78.08
92.00	78.08	15.49	78.08
93.00	78.07	15.48	78.07
94.00	78.06	15.46	78.06
95.00	78.04	15.44	78.04
96.00	78.02	15.42	78.02
97.00	78.00	15.39	78.00
98.00	77.42	15.35	77.42
99.00	77.38	15.32	77.38
100.00	77.35	15.27	77.35
101.00	77.31	15.23	77.31
102.00	77.26	15.17	77.26
103.00	77.22	15.12	77.22
104.00	77.17	15.06	77.17
105.00	77.11	14.99	77.11
106.00	77.05	14.92	77.05
107.00	76.98	14.85	76.98
108.00	76.91	14.77	76.91
109.00	76.83	14.69	76.83
110.00	76.76	14.60	76.76
111.00	68.69	14.51	68.69
112.00	68.56	14.42	68.56
113.00	68.40	14.32	68.40
